on x=-31..18,y=-8..36,z=-8..37
on x=36657..55975,y=21788..37237,z=-54429..-45575
on x=-52958..-46153,y=55517..58840,z=-32626..-22305
on x=37613..41248,y=67948..71345,z=-3442..18977
on x=30197..63744,y=-59383..-53202,z=-49904..-18902
on x=27370..36607,y=-14733..6043,z=-88363..-68699
on x=-35608..-22367,y=-83147..-51966,z=12503..26808
on x=-82032..-66162,y=-49347..-25433,z=-17638..3747
on x=11224..37865,y=-2042..10664,z=69345..86168
on x=59880..62379,y=20243..34337,z=36325..64742
on x=-62448..-49825,y=48541..57861,z=-34521..-8970
on x=-54606..-43307,y=42667..65933,z=15955..35359
on x=-51159..-18185,y=-84499..-61798,z=-30927..-13573
on x=559..5675,y=-62562..-46528,z=51187..64209
on x=-61965..-58207,y=-19889..-2571,z=-62708..-44261
on x=53757..60218,y=-51968..-46306,z=-21356..-7870
on x=1311..14483,y=-43510..-27843,z=55114..72648
on x=-76371..-55424,y=-8507..6658,z=34220..40734
on x=9857..17275,y=-83429..-68866,z=-36814..-2696
on x=13137..27465,y=-60474..-38474,z=-76955..-53363
on x=24018..48200,y=-29593..5556,z=-76414..-59870
on x=-10248..12929,y=-66850..-32019,z=-76738..-52947
on x=58484..72460,y=-17791..-5486,z=30685..41249
on x=62099..93642,y=-2025..20982,z=17664..26678
on x=60715..91642,y=2025..17256,z=4740..19026
on x=34349..46388,y=-54168..-27865,z=-60121..-37730
on x=-52600..-20359,y=-4605..22654,z=-73618..-53613
on x=7664..30048,y=-63098..-36836,z=-61934..-54037
on x=-20543..7611,y=-68..15412,z=-80437..-63453
on x=-11453..8102,y=-4618..1581,z=74605..91350
on x=53217..73826,y=-64049..-28377,z=10352..28218
on x=65270..84151,y=12966..32980,z=-6748..15465
on x=-45444..-30722,y=40755..69224,z=-39826..-17724
on x=-39883..-18446,y=30907..51144,z=42514..69955
on x=-95924..-76994,y=-28694..-1324,z=-10354..8501
on x=-67999..-49351,y=-993..20702,z=-62129..-35761
on x=-65110..-45757,y=55346..71999,z=3351..25745
on x=-83579..-68692,y=-10347..2566,z=-40174..-15412
on x=59188..82559,y=-14820..5640,z=-318..23191
on x=-43179..-24416,y=55137..87549,z=1191..20978
on x=-40470..-21822,y=60565..79901,z=-12314..16761
on x=33071..36651,y=-133..20912,z=51622..77289
on x=-69881..-67579,y=-11920..4876,z=-55756..-22251
on x=73031..99512,y=-3095..23644,z=740..4845
on x=-43685..-37626,y=-46723..-35355,z=-76254..-41750
on x=8098..17327,y=39649..74098,z=-60055..-54149
on x=64106..77492,y=6568..24195,z=-36345..-19886
on x=23591..50467,y=-64473..-46862,z=32692..56946
on x=-62143..-49316,y=42517..53566,z=27861..41766
on x=-2837..27298,y=-58733..-37491,z=63471..68873
on x=-42596..-38623,y=35985..55779,z=-58340..-39158
on x=59618..86445,y=15628..32811,z=-52581..-37840
on x=-88615..-67450,y=23563..42921,z=-10661..15144
on x=-40497..-14172,y=49099..67413,z=37167..66033
on x=26842..38071,y=16316..28718,z=-79984..-68469
on x=12901..29036,y=-81986..-68882,z=-38399..-30061
on x=51544..79968,y=-20154..9140,z=-59403..-26320
on x=43301..74079,y=-57354..-29133,z=23147..43410
on x=16508..22242,y=5208..18969,z=-87661..-69718
on x=-79155..-74181,y=9012..28887,z=-24117..6439
on x=43710..67111,y=51439..57266,z=21005..42765
on x=11724..40251,y=54490..75510,z=-36722..-6187
on x=-34761..-19325,y=-215..28970,z=65296..84865
on x=26096..44374,y=37116..63306,z=-52082..-33863
on x=16610..30722,y=9341..24930,z=-75731..-56227
on x=18933..40486,y=43580..64742,z=40708..62064
on x=-56506..-44032,y=-44927..-15765,z=39155..63625
on x=69237..96400,y=-20236..-2854,z=-7777..13074
on x=-15286..12149,y=2452..31096,z=58804..92556
on x=-16285..4481,y=-75836..-55136,z=24450..45800
on x=26302..46949,y=-77307..-49811,z=15648..23571
on x=60048..96334,y=-23772..-10518,z=15054..23285
on x=1194..22085,y=-21612..7597,z=-88822..-59959
on x=-48941..-24181,y=65668..83036,z=-17035..20711
on x=-45277..-39616,y=14140..34743,z=45620..66627
on x=-26637..1999,y=-70042..-48244,z=-64233..-43754
on x=-49569..-24559,y=-49435..-32061,z=-55888..-53900
on x=-17687..7484,y=5242..23520,z=59910..81889
on x=-53333..-27519,y=-22778..4007,z=-76903..-47138
on x=-34002..-27436,y=-5308..22905,z=-76790..-72882
on x=-39974..-21235,y=21076..42318,z=-63441..-45069
on x=-59250..-40551,y=-71493..-42323,z=-40005..-11447
on x=53015..59280,y=50678..77141,z=-298..21958
on x=43573..53225,y=51044..70249,z=-40691..-31385
on x=-54468..-38943,y=13406..33388,z=37664..64625
on x=-39002..-33064,y=15405..44601,z=56189..86043
on x=-30335..-17791,y=-79284..-57003,z=6133..31402
on x=-43230..-33336,y=-50011..-27321,z=36965..53251
on x=3363..25102,y=62137..78744,z=-56019..-42470
on x=-47844..-31076,y=-63886..-33126,z=-52840..-29190
on x=63695..72032,y=-23256..-3185,z=-47730..-17016
on x=-8585..13961,y=17724..41301,z=64875..85425
on x=-90594..-63911,y=35045..56705,z=-9442..4400
on x=38310..61361,y=44281..69660,z=16329..31880
on x=51711..64721,y=-65317..-35124,z=-23974..-13197
on x=73447..88133,y=-21724..12529,z=-31978..-26032
on x=-57595..-33461,y=-52814..-45294,z=24603..50844
on x=-36480..625,y=45949..60552,z=-58718..-43207
on x=-40893..-18863,y=73038..82667,z=-9731..12136
on x=-11515..-1992,y=-58089..-36845,z=-66277..-46046
on x=-35264..-29494,y=22368..54694,z=-67269..-43924
on x=59969..77822,y=-8388..18075,z=43997..52734
on x=53905..62599,y=53089..76551,z=-22050..-2841
on x=-81627..-53393,y=-46777..-40284,z=-6362..9853
on x=17130..23171,y=15393..51404,z=52237..74635
on x=-73028..-50546,y=34887..52859,z=12512..32837
on x=34767..61846,y=-70855..-62058,z=5721..24655
on x=48254..56885,y=33654..58453,z=-48063..-32547
on x=5987..25393,y=49004..73861,z=34407..50031
on x=-24483..-17925,y=64219..86080,z=22432..37379
on x=9196..27385,y=-73966..-57195,z=-33644..-23016
on x=-50620..-31533,y=27214..64183,z=48817..66629
on x=20709..49432,y=-69853..-42176,z=-47166..-27950
on x=64416..73370,y=-27219..-7068,z=30649..40335
on x=12588..28413,y=-82704..-65489,z=-1152..17204
on x=14161..45522,y=53741..71294,z=-29414..-15634
on x=-14790..-9275,y=-57602..-35017,z=43649..65679
on x=-38929..-13893,y=22575..44760,z=-71379..-69358
on x=-40376..-24522,y=25217..47406,z=-63154..-51495
on x=-64556..-36067,y=-49493..-31317,z=-45297..-23148
on x=55765..77151,y=15467..28983,z=29705..42811
on x=-55065..-29211,y=28104..56781,z=47359..78713
on x=-69723..-43428,y=33986..64867,z=16618..41351
on x=-25065..-15168,y=9911..37263,z=61471..92903
on x=-525..12361,y=10667..28301,z=-81566..-73151
on x=30784..54598,y=51820..72941,z=-17321..-1433
on x=-76104..-56493,y=7133..21908,z=31492..57551
on x=-16293..16760,y=-86625..-61831,z=21106..46578
on x=-37661..-21901,y=50082..73461,z=-37433..-20308
on x=23955..49583,y=48886..65221,z=32045..53606
on x=-71648..-65528,y=-23234..-20455,z=-53583..-37456
on x=15970..29010,y=28781..40105,z=47029..80112
on x=-27183..-14343,y=-42751..-24140,z=-85748..-58760
on x=56363..88122,y=-9679..17267,z=11587..39293
on x=-30143..-643,y=1628..29162,z=59873..74797
on x=-64090..-47693,y=54323..68683,z=-15441..7229
on x=-50929..-38427,y=-73050..-63763,z=2802..11657
on x=-87884..-65242,y=-20096..7217,z=4121..29405
on x=23240..47960,y=6278..18741,z=64347..83140
on x=-60368..-46015,y=-40246..-11042,z=45932..65910
on x=23401..42786,y=-34614..-25871,z=-74147..-54235
on x=-74154..-62859,y=31826..56227,z=8525..18367
on x=-46053..-30081,y=-66694..-49176,z=-64474..-38307
on x=-74607..-63677,y=-48905..-13492,z=-19007..-7896
on x=-7300..9464,y=-28810..-11311,z=-76843..-69209
on x=51100..54218,y=-44128..-29441,z=-60774..-32331
on x=-46134..-8412,y=-52792..-45023,z=-61043..-48268
on x=-29681..-1214,y=55800..84374,z=-46363..-37400
on x=-77275..-56982,y=-969..12505,z=-55017..-24148
on x=-80871..-58800,y=22211..48323,z=-32955..-31043
on x=18477..56030,y=-74710..-54233,z=26439..41963
on x=-61184..-31006,y=60292..68054,z=-25873..-1526
on x=53351..77352,y=-38018..-25694,z=-57648..-35213
on x=2074..26211,y=-52927..-26752,z=-69050..-50083
on x=-61846..-42305,y=-47989..-33777,z=29477..56025
on x=-30391..-11844,y=-75486..-57297,z=-2461..18949
on x=53302..70948,y=12898..31695,z=-47825..-19272
on x=38119..74498,y=-30533..3931,z=-69835..-42272
on x=-4571..25558,y=-46300..-29336,z=61561..77392
on x=-88373..-57406,y=-21656..-11415,z=-42390..-25830
on x=46103..61844,y=-53963..-25672,z=-55367..-45679
on x=4729..28802,y=-37501..-15770,z=67594..85600
on x=-31453..-5146,y=18599..34596,z=-80691..-57983
on x=-11426..1268,y=35206..47628,z=67078..69561
on x=15570..34192,y=-75823..-56875,z=-15550..3180
on x=-27969..-24642,y=-85558..-72145,z=-25804..-4597
on x=16739..40852,y=-24539..-17153,z=71137..88869
on x=-40394..-15534,y=-82046..-60875,z=-46636..-30976
on x=54923..79919,y=23128..36982,z=15123..35298
on x=43217..64312,y=25982..45471,z=-56438..-34853
on x=-59992..-49956,y=-70294..-44187,z=24904..37419
on x=-5425..5975,y=60576..86058,z=-20070..8906
on x=-66803..-50471,y=-16217..-1868,z=-62859..-55812
on x=33542..56002,y=-52704..-23230,z=-71726..-48312
on x=22703..36037,y=-86263..-68858,z=-36533..-16984
on x=-93434..-73000,y=-12433..14578,z=4361..31995
on x=-1904..10720,y=-82317..-78848,z=-11064..6476
on x=10155..33270,y=-57362..-44496,z=46146..58069
on x=-38056..-17197,y=-86200..-59175,z=-1192..92
on x=-76449..-52085,y=-49997..-34127,z=1360..11026
on x=-26430..-6020,y=49468..68960,z=41557..73031
on x=-36704..-6879,y=-29333..-4807,z=68243..76382
off x=21828..30804,y=64003..89781,z=-27131..-12251
on x=-63455..-41925,y=-52382..-21943,z=-60102..-50372
on x=-86745..-62962,y=5328..18953,z=-2976..13993
off x=3795..22278,y=-44087..-12235,z=-77825..-56628
off x=32579..52095,y=43899..62200,z=-42523..-40154
on x=456..13456,y=74012..91961,z=-31428..-10347
off x=51426..71277,y=36823..58295,z=-49076..-13032
on x=61731..89797,y=-11458..17786,z=-22493..2972
on x=24949..39228,y=45743..73580,z=-41633..-31411
on x=-28706..4191,y=-815..23562,z=-80906..-76637
on x=47527..81872,y=34074..61897,z=-24186..-3277
on x=-32886..-25142,y=39188..60985,z=-56994..-46363
off x=5426..23750,y=-39354..-17388,z=61041..88399
on x=-40814..-32448,y=3862..11390,z=-84759..-53408
on x=-31988..-18962,y=59881..69281,z=20853..44996
off x=56947..77245,y=20074..33294,z=23912..56098
off x=-18803..5628,y=-30522..-13594,z=68425..82317
on x=-76873..-59027,y=-53704..-19105,z=5683..31621
on x=56616..73791,y=-33086..-21781,z=26606..45037
off x=-48855..-26972,y=62719..75419,z=20314..42896
on x=72840..85288,y=-4858..19199,z=13051..17433
off x=-69987..-55095,y=10041..22999,z=34022..56991
on x=-13963..1483,y=-28632..-13065,z=59597..81082
on x=-79226..-56985,y=-20925..3035,z=-33576..-27417
on x=36291..52197,y=28881..51679,z=39057..51532
on x=32104..49655,y=54748..64684,z=26038..43780
on x=-65079..-45736,y=8781..26358,z=-58227..-41804
off x=-46479..-26797,y=-9729..20265,z=53700..89810
on x=27556..45067,y=14522..40951,z=57550..66720
off x=-12388..-5940,y=40734..67090,z=55342..67283
on x=21307..27797,y=57053..76818,z=4823..34427
off x=62240..63212,y=-2213..2131,z=-63411..-44619
on x=-16755..14335,y=-39241..-9668,z=69553..88102
on x=-38132..-4776,y=-41706..-10613,z=-88508..-57686
on x=24281..44417,y=57300..62972,z=-59573..-39448
off x=-80907..-53317,y=-62161..-31986,z=-285..5149
on x=-83306..-72086,y=5509..20374,z=-37720..-14752
off x=-29481..8342,y=-81584..-72850,z=6477..20228
off x=-58462..-34987,y=-69213..-58100,z=29375..42060
on x=12064..33071,y=-4292..14654,z=66308..93659
off x=26088..44444,y=63203..79311,z=20268..37649
off x=28316..40486,y=12232..23858,z=55614..91722
on x=20951..44775,y=56628..85808,z=7267..23606
on x=-85077..-62089,y=-24159..-15760,z=21090..32571
off x=49247..66615,y=-56188..-22357,z=45664..49415
off x=-23670..1075,y=-70000..-44827,z=41353..56725
on x=-77903..-48333,y=-22582..13640,z=44053..54780
off x=28052..55534,y=-76120..-55940,z=-16037..-13905
on x=-6682..21114,y=-39430..-17288,z=-79852..-71159
on x=13405..17677,y=44115..76818,z=44258..54025
off x=33854..45539,y=-42246..-21138,z=54626..77422
off x=-7740..15250,y=-83360..-73130,z=-21638..-13817
off x=-54866..-32220,y=-69960..-52338,z=3048..22065
off x=-34222..-2706,y=-40156..-17687,z=72781..87478
on x=35191..53159,y=50179..71908,z=-9991..6265
off x=50184..63354,y=-59659..-30878,z=32426..41597
off x=-80523..-49715,y=16309..54213,z=-38469..-16387
off x=-32279..-19139,y=-67624..-43064,z=-61989..-51461
off x=-45609..-18380,y=-831..28049,z=64113..81656
on x=-76498..-66653,y=-36367..-24898,z=-22538..-2332
off x=11183..30066,y=-7606..12426,z=62634..89525
off x=-36966..296,y=-48407..-18056,z=65537..82241
off x=-48112..-41315,y=1297..33222,z=-76066..-48419
on x=31347..64802,y=55250..67036,z=-31793..-25414
on x=46941..65515,y=5930..17917,z=-62571..-35022
off x=4369..24714,y=-77738..-57261,z=-56861..-40099
off x=75277..84253,y=-29727..-6791,z=992..22466
off x=-4623..28796,y=-91928..-66270,z=-4422..12505
on x=-27678..-4056,y=-75467..-44482,z=39815..63922
off x=-40101..-12561,y=1920..14343,z=72530..84476
off x=-51591..-18032,y=-46501..-21439,z=58241..64649
off x=181..16008,y=43876..63175,z=60392..78567
off x=-28386..-16409,y=-48539..-26603,z=50169..72834
off x=-73606..-69746,y=9881..29060,z=-22986..-21397
off x=-55319..-29413,y=-39248..-25500,z=57016..77288
on x=-91586..-69669,y=595..24636,z=11714..15824
on x=28019..56303,y=-26349..-17187,z=-72994..-51067
off x=59967..73128,y=11146..28086,z=-55796..-32398
on x=11488..35757,y=51570..68045,z=28557..51241
on x=11087..36526,y=-66272..-51093,z=-58150..-32448
off x=27055..31883,y=-54001..-41668,z=-61945..-40728
off x=-66731..-44117,y=-47622..-30715,z=-49272..-43821
on x=-27166..5760,y=70561..86635,z=-16617..11419
off x=52705..59333,y=-36235..-22099,z=33814..55534
off x=-10998..6784,y=-86234..-66404,z=-9131..13312
on x=21205..49607,y=-54820..-26255,z=47007..80580
off x=-68960..-45468,y=-35547..-18756,z=28956..54762
on x=-52215..-23583,y=-72500..-69512,z=-39675..-16292
off x=-54699..-23365,y=-30493..-6973,z=57978..83749
off x=11595..33272,y=-67508..-46704,z=45041..71691
on x=-57434..-38978,y=-3128..9950,z=-72194..-46745
off x=-51650..-23901,y=-48825..-33885,z=-72437..-46839
on x=51151..71881,y=-61782..-47620,z=18243..40393
off x=30230..48142,y=-60867..-45514,z=-60508..-30600
on x=64758..85219,y=22948..43119,z=15085..22371
off x=66730..80088,y=-2484..6950,z=6495..35276
on x=-47766..-27629,y=16118..33895,z=57247..82095
on x=-76339..-65565,y=-23506..-8578,z=19253..52338
off x=-6679..8597,y=69093..77937,z=-35828..-16514
on x=73769..85049,y=13873..31522,z=-24952..-1245
on x=-24619..-1540,y=-94935..-60826,z=7007..29421
on x=-72630..-53395,y=-16557..4180,z=-55694..-35320
on x=50810..81703,y=-5968..22975,z=31793..67742
off x=58185..89847,y=22262..46619,z=-17904..578
on x=-43554..-23465,y=66978..92093,z=1977..14482
on x=-1295..20670,y=-20061..3405,z=-92460..-63361
on x=25179..49030,y=-84078..-50845,z=23483..41288
off x=-68719..-40761,y=33740..50938,z=-43216..-25789
off x=-24385..-16666,y=-70587..-52907,z=41342..58984
off x=14522..31375,y=60191..77182,z=10138..36325
on x=-12344..7382,y=57091..87147,z=-32243..-14584
off x=-6234..15256,y=74069..93551,z=-4881..17008
on x=55092..90930,y=25499..35106,z=-20395..3264
on x=-46294..-26972,y=-64807..-59052,z=4410..28832
off x=-43055..-16736,y=-90445..-54613,z=-21332..6929
on x=44453..71710,y=-35592..-14699,z=26826..54220
on x=-1076..13936,y=-877..21960,z=69919..91471
off x=35057..60494,y=5747..18337,z=-69694..-51459
off x=46864..82011,y=16705..42000,z=30757..61340
off x=-31446..-2850,y=69405..85235,z=-9151..12702
off x=-30990..-21155,y=57319..89500,z=-33902..-290
on x=15344..42740,y=36431..52302,z=60186..67473
on x=-2291..6769,y=-76122..-60687,z=24947..32950
on x=31202..50488,y=8548..32428,z=-69102..-57318
off x=-299..8782,y=46551..63360,z=-55242..-33802
on x=-20395..-4397,y=-37031..-13179,z=-92289..-66536
on x=56977..83473,y=22536..46917,z=25311..54571
off x=-9728..27673,y=-52446..-31191,z=-77047..-61523
on x=-29198..-15807,y=-75432..-53634,z=-39537..-18512
off x=-30862..-23637,y=47833..68018,z=39465..63359
off x=-77826..-59475,y=-11406..14291,z=-50062..-21563
off x=-76324..-47799,y=40161..48660,z=-32148..-10057
off x=64434..83821,y=32797..51236,z=-4452..31960
on x=-66081..-35922,y=-74753..-48731,z=-12482..3410
on x=19831..39025,y=34065..48594,z=57872..78074
off x=-32204..-4752,y=-87069..-74847,z=-15529..-2183
off x=47715..63091,y=29289..66744,z=18527..26410
off x=-24979..565,y=-75537..-66286,z=-44299..-11838
off x=-23455..-12631,y=-49489..-24245,z=-74982..-56996
off x=-86822..-71087,y=-22716..-6808,z=-13273..6269
on x=-37732..-18785,y=10248..36042,z=-85326..-61419
on x=22884..33561,y=-63892..-43994,z=28922..58121
off x=-20640..926,y=-74830..-51608,z=32553..42893
on x=6818..31733,y=34875..67632,z=-70769..-42619
on x=-33064..-1865,y=-61755..-41726,z=-72569..-52662
off x=-53546..-38727,y=-20573..-12098,z=-66742..-63072
off x=-3107..18214,y=-67013..-40808,z=51926..60809
on x=6424..40813,y=51827..67027,z=37423..53928
off x=12115..33213,y=-83930..-60554,z=2459..23036
off x=26327..59527,y=21144..47684,z=-77295..-41746
off x=-34154..-16564,y=-83656..-68372,z=-31744..-8678
on x=-15114..5189,y=61718..89438,z=-37541..-21551
off x=-75256..-53460,y=-50597..-11731,z=-45720..-26052
on x=-83291..-60045,y=-24966..1564,z=12630..26988
on x=48508..78313,y=-56642..-29840,z=2972..6080
on x=10087..46544,y=23312..33737,z=59259..73391
off x=47832..73057,y=12927..33295,z=41445..53223
off x=-33988..4529,y=-84272..-74058,z=-8266..-65
off x=6024..20316,y=-73931..-50642,z=-60241..-34164
on x=-41996..-24222,y=-68636..-40314,z=24081..55819
on x=28650..54199,y=-51290..-38552,z=48132..60156
on x=50693..66945,y=-32823..-22078,z=32661..49309
off x=-44943..-19382,y=-57741..-42529,z=-54464..-46649
on x=21389..35314,y=26885..39566,z=48343..66692
off x=44918..67052,y=-76150..-40676,z=20730..22224
off x=-3239..22175,y=59805..70418,z=36578..55673
off x=47862..62386,y=-63324..-48566,z=-41873..-12898
off x=-71102..-37767,y=41755..65463,z=-30494..-7158
off x=11857..40216,y=-57879..-30310,z=-75712..-44954
on x=7924..27321,y=22919..45098,z=-84040..-65588
on x=1822..23398,y=55641..73462,z=-64395..-51204
off x=-88924..-69101,y=-3435..24728,z=-11661..-4837
on x=-21143..-8339,y=3509..19865,z=-87458..-68070
off x=-37929..-11676,y=-27110..-1944,z=-84275..-59372
off x=-29202..-14237,y=-82646..-69403,z=28259..44516
on x=-9762..12283,y=-83689..-63864,z=-6940..5525
off x=41948..70543,y=51665..58864,z=6573..25955
on x=-81987..-61786,y=32486..37674,z=-35002..-14299
off x=-2253..28042,y=-13212..-4350,z=-96676..-70385
off x=-49733..-33773,y=56776..60990,z=-42451..-22057
off x=46930..61731,y=41709..63209,z=29945..50505
off x=-23646..-2767,y=53394..81204,z=-55665..-37818
off x=-62466..-33705,y=-44574..-31831,z=42468..54009
off x=28964..59013,y=22816..30521,z=-68012..-47590
on x=25363..37621,y=37816..49680,z=-68259..-46847
on x=-41707..-15732,y=28371..38948,z=-70926..-52577
on x=-16138..4212,y=66868..84536,z=-20386..8492
off x=-61421..-30369,y=-80619..-53079,z=1601..12751
on x=-85628..-75626,y=-5781..1736,z=-22412..7912
off x=-63549..-58041,y=16455..33102,z=43502..58022
on x=-32908..-12412,y=27558..44730,z=-81277..-47583
on x=-7560..14966,y=24377..46095,z=64151..75614
on x=-25249..-129,y=25208..35979,z=-77110..-53302
on x=-850..5511,y=-82381..-76925,z=-8902..15018
off x=32530..42820,y=59411..73527,z=-2550..4818
off x=40198..71465,y=-45991..-34340,z=-54126..-29602
on x=33883..38237,y=-54837..-38157,z=-67819..-39792
on x=1610..22044,y=-31364..-11368,z=-89088..-59516
off x=29357..45249,y=32087..46204,z=45088..59998
